County Name,Defining Parameter,year,avg_aqi
Hamilton,CO,2006,33.0
Hamilton,CO,2011,36.0
Hamilton,CO,2021,2.0
Hamilton,NO2,2000,41.09090909090909
Hamilton,NO2,2001,40.529411764705884
Hamilton,NO2,2002,38.0625
Hamilton,NO2,2003,44.44827586206897
Hamilton,NO2,2004,43.225806451612904
Hamilton,NO2,2005,38.01052631578948
Hamilton,NO2,2006,33.30487804878049
Hamilton,NO2,2007,36.08571428571429
Hamilton,NO2,2008,32.17142857142857
Hamilton,NO2,2009,33.4
Hamilton,NO2,2010,34.5
Hamilton,NO2,2011,25.166666666666668
Hamilton,NO2,2013,38.5
Hamilton,NO2,2014,42.096774193548384
Hamilton,NO2,2015,42.76086956521739
Hamilton,NO2,2016,39.470588235294116
Hamilton,NO2,2017,36.1
Hamilton,NO2,2018,33.26086956521739
Hamilton,NO2,2019,41.42857142857143
Hamilton,NO2,2020,39.285714285714285
Hamilton,NO2,2021,36.8
Hamilton,Ozone,2000,48.05084745762712
Hamilton,Ozone,2001,52.940546967895365
Hamilton,Ozone,2002,59.46875
Hamilton,Ozone,2003,54.01870324189526
Hamilton,Ozone,2004,48.13933415536375
Hamilton,Ozone,2005,54.101176470588236
Hamilton,Ozone,2006,47.279495990836196
Hamilton,Ozone,2007,58.272965879265094
Hamilton,Ozone,2008,46.8403451995685
Hamilton,Ozone,2009,42.714454976303315
Hamilton,Ozone,2010,50.00235294117647
Hamilton,Ozone,2011,47.312933025404156
Hamilton,Ozone,2012,52.73892773892774
Hamilton,Ozone,2013,40.50300120048019
Hamilton,Ozone,2014,39.80784844384303
Hamilton,Ozone,2015,40.42151898734177
Hamilton,Ozone,2016,43.32851511169514
Hamilton,Ozone,2017,41.82731376975169
Hamilton,Ozone,2018,41.540571428571425
Hamilton,Ozone,2019,41.86741573033708
Hamilton,Ozone,2020,39.27953216374269
Hamilton,Ozone,2021,36.85875706214689
Hamilton,PM10,2006,38.5
Hamilton,PM10,2009,35.0
Hamilton,PM10,2011,32.0
Hamilton,PM2.5,2000,68.50226244343891
Hamilton,PM2.5,2001,66.58201058201058
Hamilton,PM2.5,2002,60.46560846560847
Hamilton,PM2.5,2003,61.23831775700935
Hamilton,PM2.5,2004,60.49710982658959
Hamilton,PM2.5,2005,67.38297872340425
Hamilton,PM2.5,2006,56.53636363636364
Hamilton,PM2.5,2007,54.09340659340659
Hamilton,PM2.5,2008,54.7289156626506
Hamilton,PM2.5,2009,53.40677966101695
Hamilton,PM2.5,2010,64.97602739726027
Hamilton,PM2.5,2011,55.433526011560694
Hamilton,PM2.5,2012,52.60747663551402
Hamilton,PM2.5,2013,57.06827309236948
Hamilton,PM2.5,2014,49.53438113948919
Hamilton,PM2.5,2015,43.93426294820717
