GeoFIPS,GeoName,year,Accommodation and food services,Administrative and support and waste management and remediation services,"Arts, entertainment, and recreation",Durable goods manufacturing,Educational services,Finance and insurance,Health care and social assistance,Management of companies and enterprises,Nondurable goods manufacturing,"Professional, scientific, and technical services",Real estate and rental and leasing,"Agriculture, forestry, fishing and hunting","Arts, entertainment, recreation, accommodation, and food services",Construction,"Educational services, health care, and social assistance","Finance, insurance, real estate, rental, and leasing",Information,Manufacturing,"Mining, quarrying, and oil and gas extraction",Other services (except government and government enterprises),Professional and business services,Retail trade,Transportation and warehousing,Utilities,Wholesale trade,Private industries,All industry total,Government and government enterprises,Manufacturing and information,Natural resources and mining,Private goods-producing industries 2/,Private services-providing industries 3/,Trade,Transportation and utilities
17001,"Adams, IL",2001,75938.0,41317.0,14307.0,,37444.0,208753.0,302920.0,16294.0,,74201.0,338497.0,13756.0,90167.0,176011.0,338915.0,549417.0,31750.0,449386.0,56353.0,97189.0,132135.0,214772.0,104841.0,9834.0,167513.0,2391054.0,2729402.0,350597.0,479710.0,56414.0,678000.0,1720207.0,384986.0,114206.0
17001,"Adams, IL",2002,76916.0,39250.0,14095.0,287831.0,36563.0,218324.0,307694.0,13184.0,175606.0,79415.0,332277.0,18295.0,90885.0,177248.0,343046.0,552339.0,45235.0,450226.0,54452.0,108554.0,132002.0,224680.0,99634.0,11298.0,172784.0,2448963.0,2793895.0,357137.0,499111.0,61074.0,683046.0,1774516.0,400504.0,110649.0
17001,"Adams, IL",2003,78555.0,41965.0,14338.0,321207.0,36054.0,210836.0,311495.0,13625.0,185319.0,78093.0,329893.0,105314.0,92757.0,188015.0,346485.0,542562.0,44541.0,493972.0,50358.0,105683.0,134129.0,239548.0,98983.0,11504.0,194927.0,2622162.0,2959431.0,344358.0,540507.0,169891.0,819746.0,1804058.0,436775.0,110224.0
17001,"Adams, IL",2004,81615.0,42776.0,15402.0,401105.0,36071.0,211241.0,327978.0,14742.0,195418.0,78065.0,330783.0,94516.0,96940.0,163487.0,363219.0,543863.0,50620.0,587811.0,49320.0,107572.0,136033.0,244740.0,96942.0,12382.0,194377.0,2736017.0,3072999.0,341958.0,639789.0,155235.0,892072.0,1843200.0,441866.0,109148.0
17001,"Adams, IL",2005,80280.0,42945.0,15221.0,443988.0,35280.0,215288.0,345654.0,13838.0,201500.0,71721.0,355981.0,61538.0,95433.0,162015.0,380439.0,573303.0,50076.0,638486.0,47302.0,106954.0,129105.0,246081.0,102365.0,11719.0,206732.0,2806402.0,3140568.0,337687.0,687978.0,113061.0,908185.0,1897747.0,454732.0,113808.0
17001,"Adams, IL",2006,78366.0,41741.0,14891.0,478035.0,35590.0,232086.0,362208.0,15834.0,213462.0,66636.0,366604.0,53166.0,93195.0,123792.0,397446.0,600777.0,49663.0,684519.0,44920.0,106599.0,124896.0,244473.0,120452.0,12212.0,213890.0,2870909.0,3205728.0,337591.0,731950.0,101550.0,912606.0,1958020.0,459693.0,132207.0
17001,"Adams, IL",2007,76553.0,51140.0,16041.0,512623.0,34385.0,239819.0,365316.0,16719.0,191895.0,64951.0,372598.0,38818.0,92702.0,116284.0,399514.0,614540.0,53170.0,702616.0,43376.0,102448.0,133707.0,228091.0,117105.0,11646.0,235608.0,2890418.0,3219690.0,331321.0,754374.0,84295.0,907097.0,1982907.0,462576.0,128282.0
17001,"Adams, IL",2008,79014.0,58008.0,15261.0,518374.0,34785.0,230662.0,396125.0,14206.0,172881.0,72302.0,348347.0,69874.0,94261.0,127233.0,430966.0,580898.0,56366.0,691788.0,34049.0,97887.0,145037.0,235229.0,100309.0,12645.0,246139.0,2931657.0,3258738.0,328645.0,748334.0,110271.0,935250.0,1996350.0,480011.0,112745.0
17001,"Adams, IL",2009,77523.0,55916.0,14414.0,403181.0,38625.0,279780.0,406510.0,10894.0,164230.0,69239.0,405885.0,60685.0,91883.0,136700.0,444913.0,687184.0,54587.0,565617.0,23359.0,95228.0,136220.0,244668.0,88931.0,11853.0,214035.0,2859623.0,3184763.0,327063.0,623034.0,88858.0,794295.0,2064358.0,459208.0,100667.0
17001,"Adams, IL",2010,80243.0,95169.0,14007.0,478749.0,37717.0,265507.0,388824.0,9856.0,161022.0,71224.0,349363.0,70446.0,94147.0,180474.0,426257.0,614203.0,56789.0,639316.0,17816.0,92764.0,176137.0,257937.0,82561.0,11848.0,220733.0,2947669.0,3283240.0,337568.0,697986.0,91757.0,913477.0,2033646.0,479347.0,94430.0
17001,"Adams, IL",2011,82084.0,103284.0,12180.0,554035.0,39025.0,280736.0,399392.0,12554.0,179074.0,73885.0,366757.0,51799.0,94043.0,187510.0,438102.0,646672.0,58573.0,732722.0,18001.0,87194.0,189868.0,252288.0,77722.0,12738.0,225327.0,3073569.0,3396698.0,324197.0,791635.0,72900.0,991137.0,2082552.0,478056.0,90676.0
17001,"Adams, IL",2012,84079.0,104102.0,13364.0,550240.0,38597.0,309283.0,403779.0,13719.0,194312.0,77041.0,401664.0,62662.0,97266.0,148623.0,442119.0,709946.0,54801.0,744325.0,22623.0,85698.0,195146.0,248955.0,78387.0,12531.0,242304.0,3151458.0,3466423.0,315448.0,798300.0,89044.0,987988.0,2163235.0,491269.0,91114.0
17001,"Adams, IL",2013,81710.0,99760.0,,524391.0,38000.0,274378.0,403254.0,12053.0,202033.0,76459.0,375604.0,,,154326.0,441029.0,649712.0,57177.0,726267.0,26381.0,84344.0,188430.0,258202.0,78019.0,,259320.0,3142676.0,3455367.0,313130.0,783410.0,,,,517359.0,
