GeoFIPS,GeoName,year,Accommodation and food services,Administrative and support and waste management and remediation services,"Arts, entertainment, and recreation",Durable goods manufacturing,Educational services,Finance and insurance,Health care and social assistance,Management of companies and enterprises,Nondurable goods manufacturing,"Professional, scientific, and technical services",Real estate and rental and leasing,"Agriculture, forestry, fishing and hunting","Arts, entertainment, recreation, accommodation, and food services",Construction,"Educational services, health care, and social assistance","Finance, insurance, real estate, rental, and leasing",Information,Manufacturing,"Mining, quarrying, and oil and gas extraction",Other services (except government and government enterprises),Professional and business services,Retail trade,Transportation and warehousing,Utilities,Wholesale trade,Private industries,All industry total,Government and government enterprises,Manufacturing and information,Natural resources and mining,Private goods-producing industries 2/,Private services-providing industries 3/,Trade,Transportation and utilities
17001,"Adams, IL",2001,86.12,36.021,65.727,,123.683,78.892,65.334,177.495,,95.579,87.378,15.523,82.011,116.929,68.617,84.266,38.942,80.552,147.668,103.28,65.571,76.506,100.373,68.407,63.026,76.305,79.744,121.252,75.023,44.498,81.179,74.845,70.445,96.111
17001,"Adams, IL",2002,87.229,34.22,64.754,77.155,120.773,82.509,66.363,143.612,95.01,102.295,85.772,20.645,82.664,117.751,69.453,84.715,55.482,80.702,142.686,115.356,65.505,80.036,95.387,78.597,65.01,78.153,81.629,123.514,78.057,48.174,81.783,77.208,73.284,93.118
17001,"Adams, IL",2003,89.087,36.586,65.87,86.102,119.092,79.679,67.183,148.417,100.264,100.592,85.157,118.843,84.367,124.904,70.149,83.215,54.63,88.544,131.957,112.305,66.561,85.332,94.764,80.026,73.341,83.68,86.465,119.094,84.531,134.006,98.151,78.494,79.921,92.76
17001,"Adams, IL",2004,92.557,37.294,70.758,107.519,119.147,79.832,70.738,160.592,105.729,100.556,85.387,106.657,88.171,108.609,73.538,83.415,62.087,105.364,129.236,114.313,67.505,87.181,92.81,86.138,73.134,87.314,89.783,118.264,100.058,122.445,106.81,80.197,80.853,91.854
17001,"Adams, IL",2005,91.044,37.441,69.924,119.014,116.535,81.362,74.551,150.74,109.019,92.385,91.891,69.443,86.801,107.631,77.024,87.93,61.42,114.447,123.949,113.656,64.067,87.659,98.002,81.523,77.782,89.56,91.757,116.787,107.594,89.179,108.74,82.57,83.207,95.776
17001,"Adams, IL",2006,88.873,36.391,68.408,128.14,117.56,87.71,78.121,172.482,115.491,85.834,94.633,59.996,84.765,82.239,80.467,92.144,60.913,122.699,117.707,113.279,61.978,87.086,115.318,84.953,80.475,91.619,93.661,116.754,114.471,80.1,109.269,85.192,84.115,111.259
17001,"Adams, IL",2007,86.817,44.585,73.695,137.412,113.578,90.633,78.791,182.129,103.822,83.664,96.18,43.805,84.317,77.251,80.886,94.255,65.215,125.943,113.663,108.868,66.351,81.251,112.114,81.012,88.647,92.241,94.069,114.586,117.978,66.49,108.609,86.275,84.642,107.957
17001,"Adams, IL",2008,89.608,50.573,70.109,138.954,114.902,87.172,85.436,154.754,93.535,93.133,89.92,78.85,85.735,84.525,87.254,89.095,69.134,124.002,89.222,104.022,71.973,83.793,96.033,87.963,92.609,93.557,95.21,113.66,117.034,86.979,111.98,86.86,87.832,94.882
17001,"Adams, IL",2009,87.917,48.75,66.219,108.075,127.584,105.735,87.676,118.671,88.854,89.187,104.773,68.481,83.572,90.814,90.077,105.396,66.953,101.386,61.211,101.195,67.598,87.156,85.14,82.456,80.53,91.258,93.048,113.113,97.438,70.089,95.103,89.819,84.026,84.717
17001,"Adams, IL",2010,91.001,82.971,64.35,128.332,124.585,100.341,83.862,107.362,87.119,91.744,90.183,79.495,85.631,119.894,86.3,94.203,69.654,114.596,46.685,98.578,87.407,91.882,79.042,82.422,83.05,94.068,95.926,116.746,109.16,72.376,109.373,88.483,87.711,79.468
