"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
County
GeoFips,GeoName,LineCode,Description,2023
01001,"Autauga, AL",1,Personal income (thousands of dollars),3202910
01001,"Autauga, AL",2,Population (persons) 1,60342
01001,"Autauga, AL",3,Per capita personal income (dollars) 2,53079
01003,"Baldwin, AL",1,Personal income (thousands of dollars),15456083
01003,"Baldwin, AL",2,Population (persons) 1,253507
01003,"Baldwin, AL",3,Per capita personal income (dollars) 2,60969
01005,"Barbour, AL",1,Personal income (thousands of dollars),1021034
01005,"Barbour, AL",2,Population (persons) 1,24585
01005,"Barbour, AL",3,Per capita personal income (dollars) 2,41531
01007,"Bibb, AL",1,Personal income (thousands of dollars),871112
01007,"Bibb, AL",2,Population (persons) 1,21868
01007,"Bibb, AL",3,Per capita personal income (dollars) 2,39835
01009,"Blount, AL",1,Personal income (thousands of dollars),2692960
01009,"Blount, AL",2,Population (persons) 1,59816
01009,"Blount, AL",3,Per capita personal income (dollars) 2,45021
01011,"Bullock, AL",1,Personal income (thousands of dollars),356891
01011,"Bullock, AL",2,Population (persons) 1,9897
01011,"Bullock, AL",3,Per capita personal income (dollars) 2,36061
01013,"Butler, AL",1,Personal income (thousands of dollars),904253
01013,"Butler, AL",2,Population (persons) 1,18382
01013,"Butler, AL",3,Per capita personal income (dollars) 2,49192
01015,"Calhoun, AL",1,Personal income (thousands of dollars),5208717
01015,"Calhoun, AL",2,Population (persons) 1,116429
01015,"Calhoun, AL",3,Per capita personal income (dollars) 2,44737
01017,"Chambers, AL",1,Personal income (thousands of dollars),1388206
01017,"Chambers, AL",2,Population (persons) 1,34079
01017,"Chambers, AL",3,Per capita personal income (dollars) 2,40735
01019,"Cherokee, AL",1,Personal income (thousands of dollars),1157516
01019,"Cherokee, AL",2,Population (persons) 1,25666
01019,"Cherokee, AL",3,Per capita personal income (dollars) 2,45099
01021,"Chilton, AL",1,Personal income (thousands of dollars),2141376
01021,"Chilton, AL",2,Population (persons) 1,46431
01021,"Chilton, AL",3,Per capita personal income (dollars) 2,46120
01023,"Choctaw, AL",1,Personal income (thousands of dollars),604706
